Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.74     0.00      256     0.00     0.00  bool __gnu_cxx::operator==<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      4.74     0.00      256     0.00     0.00  std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > >::end() const
  0.00      4.74     0.00      256     0.00     0.00  std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > >::begin() const
  0.00      4.74     0.00      256     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.00      4.74     0.00      256     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.00      4.74     0.00      256     0.00     0.00  std::__cxx11::regex_traits<char>::isctype(char, std::__cxx11::regex_traits<char>::_RegexMask) const
  0.00      4.74     0.00      256     0.00     0.00  std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>::_M_apply(char, std::integral_constant<bool, false>) const
  0.00      4.74     0.00      256     0.00     0.00  std::__detail::_RegexTranslator<std::__cxx11::regex_traits<char>, false, false>::_M_transform(char) const
  0.00      4.74     0.00      256     0.00     0.00  std::_Base_bitset<4ul>::_M_getword(unsigned long)
  0.00      4.74     0.00      256     0.00     0.00  std::bitset<256ul>::reference::reference(std::bitset<256ul>&, unsigned long)
  0.00      4.74     0.00      256     0.00     0.00  std::bitset<256ul>::reference::~reference()
  0.00      4.74     0.00      256     0.00     0.00  std::bitset<256ul>::reference::operator=(bool)
  0.00      4.74     0.00      256     0.00     0.00  std::bitset<256ul>::operator[](unsigned long)
  0.00      4.74     0.00      256     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > std::__lower_bound<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char, __gnu_cxx::__ops::_Iter_less_val>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char const&, __gnu_cxx::__ops::_Iter_less_val)
  0.00      4.74     0.00      256     0.00     0.00  bool std::binary_search<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char const&)
  0.00      4.74     0.00      256     0.00     0.00  std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>::_M_apply(char, std::integral_constant<bool, false>) const::{lambda()#1}::operator()() const
  0.00      4.74     0.00      255     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00      4.74     0.00      252     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00      4.74     0.00      252     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      4.74     0.00      252     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      4.74     0.00      252     0.00     0.00  char* std::addressof<char>(char&)
  0.00      4.74     0.00      248     0.00     0.00  void std::_Destroy_aux<true>::__destroy<char*>(char*, char*)
  0.00      4.74     0.00      248     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      4.74     0.00      248     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.00      4.74     0.00      248     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      4.74     0.00      248     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      4.74     0.00      248     0.00     0.00  void std::_Destroy<char*>(char*, char*)
  0.00      4.74     0.00      247     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl_data::_Vector_impl_data()
  0.00      4.74     0.00      246     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>::_Iter_equals_val(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      4.74     0.00      246     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const> __gnu_cxx::__ops::__iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      4.74     0.00      246     0.00     0.00  bool __gnu_cxx::operator==<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      4.74     0.00      246     0.00     0.00  bool __gnu_cxx::operator==<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > >(__gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > > const&)
  0.00      4.74     0.00      246     0.00     0.00  std::ctype<char>::tolower(char*, char const*) const
